,,percent_5,percent_5,percent_5,median,median,median,percent_95,percent_95,percent_95
,,min,median,max,min,median,max,min,median,max
result_type,name,,,,,,,,,
P1,default,0.0,0.0,0.264673640740601,0.0,0.029822235046699674,0.36613441709345906,0.0,0.04203235715035447,0.4319381542915437
P1,low_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2,default,0.0,0.0,0.5306838729778356,0.0,0.07041746953436956,0.9840766544841841,0.0,0.10466309655647166,1.2445507706710224
P2,low_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,default,0.0,0.0,1.8655275929463608,0.0,1.2854559146220055,5.093592758001201,0.0,1.9799873867404232,6.7835873270966545
P3,low_demand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
